fecha,confirmados_minsal
2021-04-17,51820
2021-04-18,51967
2021-04-19,52311
2021-04-20,52681
2021-04-21,53007
2021-04-22,53416
2021-04-23,53822
2021-04-24,54047
2021-04-25,54236
2021-04-26,54504
2021-04-27,54916
2021-04-28,55238
2021-04-29,55667
2021-04-30,55978
2021-05-01,56137
2021-05-02,56239
2021-05-03,56505
2021-05-04,56916
2021-05-05,57237
2021-05-06,57515
2021-05-07,57826
2021-05-08,58047
2021-05-09,58138
2021-05-10,58519
2021-05-11,58939
2021-05-12,59208
2021-05-13,59694
2021-05-14,60029
2021-05-15,60368
2021-05-16,60547
2021-05-17,61078
2021-05-18,61658
2021-05-19,62196
2021-05-20,62835
2021-05-21,63278
2021-05-22,63657
2021-05-23,63913
2021-05-24,64266
2021-05-25,64587
2021-05-26,65089
2021-05-27,65829
2021-05-28,66377
2021-05-29,66745
2021-05-30,66945
2021-05-31,67444
2021-06-01,67991
2021-06-02,68402
2021-06-03,68787
2021-06-04,69189
2021-06-05,69430
2021-06-06,69566
2021-06-07,69897
